code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
0,Pre-Construction & Administration,,1,1,7,,,,2025-01-01,2025-01-07,,,not_started,0,true,Admin & planning,
0.1,Project Initiation,0,2,1,3,,,,2025-01-01,2025-01-03,,,not_started,0,false,Project kickoff,
0.2,Design & Engineering,0,2,2,4,,,,2025-01-04,2025-01-07,,,not_started,0,false,Design phase,
1,Site Work & Earthwork,,1,2,6,,,,2025-01-08,2025-01-13,,,not_started,0,true,Site prep,
1.1,Clearing & Grubbing,1,2,1,2,,,,2025-01-08,2025-01-09,,,not_started,0,false,Clear,
1.2,Earthwork & Grading,1,2,2,4,,,,2025-01-10,2025-01-13,,,not_started,0,false,Grade,
2,Foundation,,1,3,8,,,,2025-01-14,2025-01-21,,,not_started,0,true,Foundation,
2.1,Footings,2,2,1,4,,,,2025-01-14,2025-01-17,,,not_started,0,false,Footings,
2.2,Slab,2,2,2,3,,,,2025-01-18,2025-01-20,,,not_started,0,false,Slab,
2.3,Curing,2,2,3,1,,,,2025-01-21,2025-01-21,,,not_started,0,false,Cure,
3,Structural Framing,,1,4,10,,,,2025-01-22,2025-01-31,,,not_started,0,true,Framing,
3.1,Floor Framing,3,2,1,3,,,,2025-01-22,2025-01-24,,,not_started,0,false,Floors,
3.2,Wall Framing,3,2,2,4,,,,2025-01-25,2025-01-28,,,not_started,0,false,Walls,
3.3,Roof Framing,3,2,3,3,,,,2025-01-29,2025-01-31,,,not_started,0,false,Roof,
4,Roofing,,1,5,4,,,,2025-02-01,2025-02-04,,,not_started,0,true,Roofing,
5,Envelope,,1,6,4,,,,2025-02-05,2025-02-08,,,not_started,0,true,Dry-in,
6,Exterior Finishes,,1,7,5,,,,2025-02-09,2025-02-13,,,not_started,0,true,Exterior,
7,Rough MEP,,1,8,7,,,,2025-02-14,2025-02-20,,,not_started,0,true,Rough MEP,
8,Insulation,,1,9,3,,,,2025-02-21,2025-02-23,,,not_started,0,true,Insulate,
9,Drywall,,1,10,4,,,,2025-02-24,2025-02-27,,,not_started,0,true,Drywall,
10,Interior Finishes,,1,11,7,,,,2025-02-28,2025-03-06,,,not_started,0,true,Interior,
11,Finish MEP,,1,12,4,,,,2025-03-07,2025-03-10,,,not_started,0,true,Finish MEP,
12,Final & Closeout,,1,13,3,,,,2025-03-11,2025-03-13,,,not_started,0,true,Closeout,
