code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
0,Pre-Construction & Administration,,1,1,7,,,,,,,not_started,0,true,Overall preconstruction and admin tasks,
0.1,Project Initiation,0,2,1,3,,,,,,,not_started,0,false,"Kickoff, goals, and constraints",
0.1.1,Owner Requirements & Program,0.1,3,1,2,,,,,,,not_started,0,false,Space program and performance requirements,
0.1.2,Site Visit & Initial Survey,0.1,3,2,1,,,,,,,not_started,0,false,Initial field review and notes,
0.2,Design & Engineering,0,2,2,5,,,,,,,not_started,0,false,Architectural and engineering design,
0.2.1,Architectural Design,0.2,3,1,3,,,,,,,not_started,0,false,"Plans, elevations, and sections",
0.2.2,Structural Design,0.2,3,2,2,,,,,,,not_started,0,false,Structural sizing and details,
0.2.3,MEP Coordination,0.2,3,3,2,,,,,,,not_started,0,false,Routing and equipment planning,
0.3,Permits & Approvals,0,2,3,10,,,,,,,not_started,0,false,"Permits, approvals, and utilities",
0.3.1,Building Permit Application,0.3,3,1,7,,,,,,,not_started,0,false,Prepare and submit building permit set,
0.3.2,Utility Service Approvals,0.3,3,2,3,,,,,,,not_started,0,false,"Coordinate power, water, and sewer",
0.4,Mobilization,0,2,4,3,,,,,,,not_started,0,false,Site mobilization,
0.4.1,Temporary Utilities Setup,0.4,3,1,2,,,,,,,not_started,0,false,Temporary power and water,
0.4.2,Site Office & Storage,0.4,3,2,1,,,,,,,not_started,0,false,"Laydown area, storage, and signage",
1,Site Work & Earthwork,,1,2,10,,,,,,,not_started,0,true,Overall site preparation and grading,
1.1,Site Preparation,1,2,1,4,,,,,,,not_started,0,false,Prepare site for earthwork,
1.1.1,Clearing & Grubbing,1.1,3,1,2,,,,,,,not_started,0,false,"Remove vegetation, trees, and stumps",
1.1.2,Existing Structure Demolition,1.1,3,2,2,,,,,,,not_started,0,false,Demolish existing structures if any,
1.1.3,Temporary Erosion Control,1.1,3,3,2,,,,,,,not_started,0,false,Silt fence and erosion measures,
1.2,Earthwork,1,2,2,6,,,,,,,not_started,0,false,"Cut, fill, and grading",
1.2.1,Rough Grading,1.2,3,1,3,,,,,,,not_started,0,false,Establish general site slopes,
1.2.2,Subgrade Preparation,1.2,3,2,2,,,,,,,not_started,0,false,Compact and prep for foundations,
1.2.3,Excavation for Foundations,1.2,3,3,3,,,,,,,not_started,0,false,Excavate footings and stem walls,
1.2.4,Backfill & Compaction,1.2,3,4,3,,,,,,,not_started,0,false,Backfill around footings and walls,
1.3,Underground Utilities,1,2,3,6,,,,,,,not_started,0,false,Underground utility rough-in,
1.3.1,Water Service Trench & Pipe,1.3,3,1,2,,,,,,,not_started,0,false,Trench and install water line,
1.3.2,Sewer / Septic Lines,1.3,3,2,3,,,,,,,not_started,0,false,Install sewer or septic piping,
1.3.3,Power & Communications Trench,1.3,3,3,1,,,,,,,not_started,0,false,Conduit for power and low voltage,
2,Foundation System,,1,3,14,,,,,,,not_started,0,true,Complete foundation system,
2.1,Layout & Excavation,2,2,1,4,,,,,,,not_started,0,false,Layout and overexcavation,
2.1.1,Batter Boards & Building Layout,2.1,3,1,2,,,,,,,not_started,0,false,Set layout lines and elevations,
2.1.2,Overexcavation & Subgrade Prep,2.1,3,2,2,,,,,,,not_started,0,false,Overexcavate and compact subgrade,
2.2,Footings,2,2,2,6,,,,,,,not_started,0,false,Footing system,
2.2.1,Footing Formwork,2.2,3,1,2,,,,,,,not_started,0,false,Build footing forms,
2.2.2,Footing Reinforcement,2.2,3,2,2,,,,,,,not_started,0,false,Install footing rebar,
2.2.3,Footing Concrete Placement,2.2,3,3,2,,,,,,,not_started,0,false,Pour and finish footing concrete,
2.3,Foundation / Stem Walls,2,2,3,6,,,,,,,not_started,0,false,Foundation walls or stem walls,
2.3.1,Wall Formwork,2.3,3,1,2,,,,,,,not_started,0,false,Form stem or foundation walls,
2.3.2,Wall Reinforcement,2.3,3,2,2,,,,,,,not_started,0,false,Install vertical and horizontal rebar,
2.3.3,Wall Concrete Placement,2.3,3,3,2,,,,,,,not_started,0,false,Place and vibrate concrete,
2.3.4,Dampproofing / Waterproofing,2.3,3,4,2,,,,,,,not_started,0,false,Waterproof exterior walls,
2.4,Slab-on-Grade,2,2,4,8,,,,,,,not_started,0,false,Slab on grade work,
2.4.1,Underslab Plumbing,2.4,3,1,2,,,,,,,not_started,0,false,Drain and water lines under slab,
2.4.2,Underslab Electrical / Conduit,2.4,3,2,2,,,,,,,not_started,0,false,Conduit and boxes under slab,
2.4.3,Vapor Barrier & Insulation,2.4,3,3,1,,,,,,,not_started,0,false,Install VB and underslab insulation,
2.4.4,Slab Reinforcement,2.4,3,4,1,,,,,,,not_started,0,false,Rebar or mesh for slab,
2.4.5,Slab Concrete Placement,2.4,3,5,2,,,,,,,not_started,0,false,Place and finish slab concrete,
2.5,Foundation Backfill,2,2,5,3,,,,,,,not_started,0,false,Backfill and compact adjacent to foundation,
3,Structural Framing,,1,4,14,,,,,,,not_started,0,true,Primary structural framing,
3.1,Floor Framing,3,2,1,6,,,,,,,not_started,0,false,Floor framing,
3.1.1,Sill Plates & Anchors,3.1,3,1,1,,,,,,,not_started,0,false,Install sill plates on foundation,
3.1.2,Beams & Girders,3.1,3,2,2,,,,,,,not_started,0,false,"Install beams, girders, and posts",
3.1.3,Floor Joists,3.1,3,3,2,,,,,,,not_started,0,false,Install floor joists,
3.1.4,Subfloor Sheathing,3.1,3,4,1,,,,,,,not_started,0,false,Install subfloor sheathing,
3.2,Wall Framing,3,2,2,6,,,,,,,not_started,0,false,Wall framing,
3.2.1,Exterior Load-Bearing Walls,3.2,3,1,3,,,,,,,not_started,0,false,Frame exterior walls,
3.2.2,Interior Partitions,3.2,3,2,2,,,,,,,not_started,0,false,Frame interior walls,
3.2.3,Shear Walls & Bracing,3.2,3,3,1,,,,,,,not_started,0,false,Install braced wall panels,
3.2.4,Blocking & Nailing,3.2,3,4,1,,,,,,,not_started,0,false,Nail-off and blocking,
3.3,Roof Framing,3,2,3,5,,,,,,,not_started,0,false,Roof framing,
3.3.1,Rafters / Trusses,3.3,3,1,3,,,,,,,not_started,0,false,Install rafters or trusses,
3.3.2,Roof Sheathing,3.3,3,2,1,,,,,,,not_started,0,false,Install roof sheathing,
3.3.3,Overhangs & Fascia,3.3,3,3,1,,,,,,,not_started,0,false,Frame overhangs and fascia,
3.4,Framing Punch / Straightening,3,2,4,2,,,,,,,not_started,0,false,Straighten walls and correct issues,
4,Roofing System,,1,5,7,,,,,,,not_started,0,true,Roof underlayment and covering,
4.1,Roof Dry-In,4,2,1,3,,,,,,,not_started,0,false,Underlayment and flashing,
4.1.1,Underlayment Installation,4.1,3,1,2,,,,,,,not_started,0,false,Install roof underlayment,
4.1.2,Valley / Wall Flashing,4.1,3,2,1,,,,,,,not_started,0,false,Install flashings,
4.2,Roof Covering,4,2,2,4,,,,,,,not_started,0,false,Final roof covering,
4.2.1,Shingles / Panels,4.2,3,1,3,,,,,,,not_started,0,false,Install shingles or metal panels,
4.2.2,Ridge & Vents,4.2,3,2,1,,,,,,,not_started,0,false,Install ridge cap and vents,
