code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
0,Pre-Construction & Administration,,1,1,,,,"2025-01-01","2025-01-07",,,not_started,0,false,Initial planning and permits,
1,Site Work & Earthwork,,1,2,,,,"2025-01-08","2025-01-14",,,not_started,0,false,Site prep tasks,
1.1,Clearing & Demolition,1,2,1,2,1200,600,"2025-01-08","2025-01-09",,,not_started,0,false,Remove vegetation and obstacles,
1.2,Grading & Excavation,1,2,2,3,2000,1200,"2025-01-10","2025-01-12",,,not_started,0,false,Rough grading,
1.3,Fill & Compaction,1,2,3,2,900,500,"2025-01-13","2025-01-14",,,not_started,0,false,Prepare final grade,
2,Foundation System,,1,3,,,,"2025-01-15","2025-01-25",,,not_started,0,false,Structural base work,
2.1,Formwork,2,2,1,3,1400,800,"2025-01-15","2025-01-17",,,not_started,0,false,Build concrete forms,
2.2,Reinforcement,2,2,2,3,1000,900,"2025-01-18","2025-01-20",,,not_started,0,false,Install rebar,
2.3,Footings,2,2,3,3,2200,1500,"2025-01-21","2025-01-23",,,not_started,0,false,Pour footings,
2.4,Foundation Pour,2,2,4,2,1800,2200,"2025-01-24","2025-01-25",,,not_started,0,false,Main foundation pour,
3,Structural Framing,,1,4,,,,"2025-01-27","2025-02-10",,,not_started,0,false,Structural work,
3.1,Floor Framing,3,2,1,4,2500,1700,"2025-01-27","2025-01-30",,,not_started,0,false,Subfloor structure,
3.2,Wall Framing,3,2,2,5,3000,1900,"2025-01-31","2025-02-04",,,not_started,0,false,Exterior and interior walls,
3.3,Roof Framing,3,2,3,4,2800,1800,"2025-02-05","2025-02-08",,,not_started,0,false,Rafters and trusses,
3.4,Sheathing,3,2,4,2,1200,1000,"2025-02-09","2025-02-10",,,not_started,0,false,Exterior sheathing,
